participant_code,mode_survey,time_first_access,time_last_update,duration_survey_hrs
88138203,1,735980.540960648,735980.54849537,0.180833335965872
88326854,1,736056.556666667,736056.566643519,0.23944444488734
52514473,2,735998.640752315,735998.653425926,0.304166665300727
13310788,2,735968.582997685,735992.814641204,581.559444445185
97632983,1,735980.523020833,735980.528831018,0.139444442465901
46464610,2,735990.481944444,735990.485787037,0.0922222221270204
65878115,1,735983.657731481,735983.67181713,0.338055554777384
66751965,2,735996.697094907,736084.468356482,2106.51027777884
11841028,1,735986.738680556,735986.766458333,0.666666666045785
30022876,2,735991.681701389,735991.686087963,0.10527777671814
23869239,2,735990.46494213,735990.530486111,1.57305555325001
64996187,2,735994.519664352,735994.523784722,0.0988888889551163
86072707,2,735978.968344907,735978.976388889,0.193055556155741
54550414,2,735972.907615741,735976.001331019,74.2491666655988
78485378,1,735993.746678241,735993.753298611,0.158888890407979
78917226,2,735974.425416667,735992.700821759,438.609722223133
55257573,1,735980.4959375,735980.501273148,0.128055553883314
92407597,2,735987.715625,735987.726435185,0.259444445371628
90415556,2,735985.54087963,735985.545798611,0.118055555038154
17892155,2,735976.424421296,736006.430023148,720.13444444444
98287770,1,735980.502986111,735980.516388889,0.3216666681692
20162067,2,735979.913425926,735979.941990741,0.685555555857718
31080111,2,735982.989594907,735983.008078704,0.443611110560596
78251014,2,735992.586099537,735992.596550926,0.25083333067596
32301026,2,735983.973564815,735983.992743056,0.46027777902782
67890127,1,735990.716469907,735990.730578704,0.338611110113561
62310371,2,735990.496296296,735990.502962963,0.160000001080334
93403811,2,735990.618449074,735990.62462963,0.148333333432674
80684232,2,735980.874155093,735980.886493056,0.296111111529171
39273981,1,735985.532974537,735985.539918981,0.16666666790843
87088262,2,735984.400752315,735984.483402778,1.98361111152917
24760713,1,735990.530590278,735990.534652778,0.0975000020116568
82976814,2,736006.472094907,736006.476990741,0.117499999701977
88405608,1,735993.713229167,735993.717777778,0.109166666865349
62323231,2,735984.913125,735984.917048611,0.0941666672006249
25419195,2,735983.636041667,735985.0534375,34.0175000019372
45357188,1,735993.794976852,735993.799050926,0.0977777754887939
19094963,1,735993.731006944,735993.739849537,0.212222222238779
17257781,2,736006.666550926,736006.675509259,0.214999998919666
70253310,1,735990.6090625,735990.615104167,0.14500000141561
29415238,2,735986.865763889,735986.882303241,0.396944442763925
20602985,2,736047.759953704,736047.764444444,0.107777777127922
24577058,1,735993.755185185,735993.760011574,0.115833330899477
96188068,1,735993.761145833,735993.764606482,0.0830555576831102
89881612,1,735990.53568287,735990.540162037,0.107499998062849
51971408,2,735984.622766204,735984.632534722,0.234444444067776
42897756,2,735988.437048611,735988.458159722,0.506666667759418
51105699,2,735994.744039352,735994.773460648,0.706111111678183
72470897,2,736007.374652778,736007.380023148,0.128888888284564
88570943,1,735993.784444444,735993.791180556,0.161666667088866
18918326,2,735985.767395833,735986.340659722,13.7583333346993
62691603,2,735987.096898148,735987.119340278,0.538611109368503
44892039,2,735987.916145833,735987.926261574,0.242777776904404
27608939,1,735993.780185185,735993.783946759,0.0902777798473835
63426566,1,736048.648703704,736048.655578704,0.165000001899898
72397375,2,736006.491666667,736006.498275463,0.158611111342907
47681562,2,735984.699513889,735993.497002315,211.1397222206
23919020,2,735990.86869213,735998.58962963,185.302500000224
85231372,1,736001.742013889,736001.745706019,0.0886111110448837
93188586,2,736009.925520833,736009.937488426,0.287222220562398
36531565,2,736006.620150463,736006.646956019,0.643333333544433
67580946,1,735993.765335648,735993.769490741,0.0997222205623984
25169140,2,735990.608425926,735990.61787037,0.226666666567326
70087084,2,735986.50244213,735994.479710648,191.454444444738
48437164,2,736007.464027778,736007.4896875,0.615833334624767
28718993,2,735990.6284375,735990.636041667,0.182499999180436
46351919,2,735990.67150463,735990.686377315,0.356944444589317
64098064,2,735988.641666667,735988.649560185,0.189444442279637
40851437,2,735990.602731481,735997.712291667,170.629444445483
12026009,2,736007.674675926,736007.827002315,3.65583333559334
73985604,2,736008.465486111,736008.468368056,0.0691666658967733
33231904,2,735986.8046875,735986.81181713,0.171111110597849
46454142,2,735991.731956018,735991.746527778,0.349722222425044
37827890,1,735993.770509259,735993.779583333,0.217777775600553
30880905,2,735986.565439815,735986.881238426,7.5791666675359
34505588,2,735987.707974537,735987.719259259,0.270833333954215
57938188,2,735986.614305556,735988.458055556,44.25
35548946,1,735993.799502315,735993.803275463,0.0905555561184883
10739775,2,735986.508101852,735997.639826389,267.161388890818
77710158,2,735986.516527778,735989.058888889,61.0166666675359
79384042,1,736048.667685185,736048.673113426,0.130277778021991
41925018,2,735988.879351852,735988.88744213,0.194166666828096
95953133,2,735987.420902778,735987.426388889,0.131666664965451
41944507,1,735993.528541667,735993.542384259,0.332222222350538
60178680,2,736008.756342593,736008.766736111,0.2494444437325
53631408,2,735986.547106482,735993.50130787,166.900833332911
59824347,1,735997.726909722,735997.760104167,0.796666667796671
13019341,1,735993.740532407,735993.745590278,0.121388889849186
96350681,1,735994.725104167,735994.72931713,0.101111110299826
68362333,1,735994.797372685,735994.808298611,0.262222222052515
92885307,1,735994.781539352,735994.787905093,0.152777778916061
95443572,2,735990.031828704,735990.053402778,0.517777777276933
88871210,2,735988.567175926,735988.994537037,10.2566666649655
46523078,1,735994.730289352,735994.743449074,0.315833332948387
44598621,1,735994.715219907,735994.721944444,0.161388888023794
14066034,1,735993.593171296,735993.697696759,2.50861111097038
95569056,2,735988.494791667,735993.502847222,120.193333335221
96442770,1,735994.774502315,735994.781006944,0.156111110933125
32396588,2,735987.519039352,735989.475775463,46.9616666659713
54970399,2,735988.429976852,735988.441053241,0.265833335928619
39674114,2,735990.023032407,735990.035752315,0.305277778767049
98429940,2,735987.850972222,735988.78537037,22.4255555570126
39854810,1,736001.751273148,736001.75662037,0.128333332948387
32879731,1,735993.791701389,735993.794513889,0.0674999998882413
82618644,1,735993.718969907,735993.730127315,0.267777778208256
89609207,2,735992.866168982,736140.972997685,3554.56388888787
33403043,2,735993.983576389,735993.996076389,0.299999998882413
65326152,2,735991.742719907,735991.747743056,0.120555555447936
59199766,1,736001.764259259,736001.778321759,0.337500002235174
19963077,2,736017.714189815,736017.727962963,0.330555553548038
46089917,1,736048.639502315,736048.647476852,0.191388887353241
58163225,1,736001.787395833,736001.795231481,0.188055555336177
26937464,1,735997.702199074,735997.722337963,0.483333332464099
53035837,2,735993.841851852,735993.852476852,0.254999999888241
82623057,2,736005.904594907,736005.920844907,0.389999999664724
94899027,1,735997.622939815,735997.639502315,0.39750000089407
79740749,1,735994.788599537,735994.796851852,0.198055556975305
57555724,2,735995.511712963,735997.427581019,45.9808333329856
96476939,2,735994.870046296,735995.406238426,12.8686111103743
92507447,1,735997.641944444,735997.656770833,0.355833333916962
48451909,2,735992.742835648,736010.565439815,427.742500000633
37553666,2,735991.855150463,735991.877951389,0.547222224064171
85006266,1,736001.757488426,736001.763657407,0.148055554367602
66529683,2,735992.012650463,735992.01962963,0.16750000230968
72977412,1,736082.702997685,736082.710960648,0.191111111082137
37594009,2,736006.588912037,736006.599594907,0.256388886831701
24498627,2,735992.399259259,735992.411493056,0.29361111111939
21975579,1,736076.770324074,736076.772152778,0.0438888883218169
77748949,1,735997.694085648,735997.701400463,0.175555556081235
72769522,1,736047.791122685,736047.797118056,0.143888887949288
85278749,2,735994.972199074,735994.993668981,0.515277776867151
56189352,2,735995.006701389,735995.0146875,0.191666666418314
80565373,2,735993.426851852,735993.430023148,0.0761111117899418
92574679,1,736048.784652778,736048.788020833,0.0808333307504654
35591877,2,735993.949583333,735993.980011574,0.730277778580785
93749739,1,736001.746319444,736001.750648148,0.10388888977468
30325393,1,736047.784444444,736047.789895833,0.130833333358169
10358113,2,735995.477951389,735995.48431713,0.152777776122093
71246681,2,735993.047372685,735994.713194444,39.9797222223133
68593450,1,736071.723946759,736071.731689815,0.185833333991468
81972597,2,735992.642696759,735994.449039352,43.3522222219035
42922106,1,736048.674143519,736048.686469907,0.295833332464099
92112639,2,735994.590821759,735994.892152778,7.23194444272667
80651740,2,735994.001516204,736080.015821759,2064.34333333187
69657024,2,736007.451354167,736007.454814815,0.0830555548891425
42279695,1,736071.738298611,736071.743923611,0.134999999776483
91113229,2,735994.822569444,735994.832511574,0.23861111048609
70915663,1,736047.767361111,736047.774560185,0.172777776606381
40023972,1,736048.441342593,736048.443553241,0.0530555555596948
83766141,1,736048.422604167,736048.425810185,0.0769444433972239
35400897,2,736002.902037037,736002.918865741,0.403888888657093
15207770,1,736048.627986111,736048.631967593,0.0955555569380522
49995427,2,735991.742349537,735991.855335648,2.71166666597128
50519942,1,736048.601585648,736048.607488426,0.141666666604579
26742090,1,736001.779421296,736001.786782407,0.17666666675359
43269432,1,736047.775925926,736047.783287037,0.17666666675359
13851014,1,736048.427280093,736048.434270833,0.167777778580785
10532697,2,735996.553229167,735996.557719907,0.107777777127922
70658523,2,735997.094930556,735997.099594907,0.111944443546236
33755370,2,735994.895451389,735994.903472222,0.192500000819564
41001238,1,736083.730914352,736083.762777778,0.764722220599651
92159577,2,735996.789050926,735996.794293982,0.125833335332572
85315463,1,736048.657430556,736048.661805556,0.105000000447035
74085700,2,736008.957361111,736008.970578704,0.317222222685814
74182378,1,736048.611643519,736048.618078704,0.154444444924593
98126978,2,735996.149861111,735996.162650463,0.306944444775581
91549678,2,735995.642638889,735995.647662037,0.120555555447936
32951691,2,735995.889571759,735995.899178241,0.230555553920567
63397236,1,736048.472627315,736048.475104167,0.0594444433227181
55774986,1,736048.464375,736048.467280093,0.0697222240269184
56299382,1,736047.744398148,736047.756678241,0.294722221791744
61711545,2,735994.829363426,735994.858784722,0.706111108884215
32596110,1,736056.572256944,736056.574837963,0.0619444437325001
50042587,1,736048.445196759,736048.4528125,0.182777775451541
77355737,2,736008.473009259,736008.486539352,0.32472222391516
44029573,1,736048.60900463,736048.610960648,0.0469444440677762
62132019,1,736048.633101852,736048.63724537,0.0994444470852613
66856327,1,736048.663078704,736048.665601852,0.0605555567890406
14732388,1,736048.435729167,736048.439884259,0.0997222205623984
76250789,1,736048.468206019,736048.471157407,0.0708333319053054
23764485,2,735996.407777778,735996.419270833,0.275833334773779
57065386,2,735999.482974537,735999.493229167,0.246111111715436
81170956,2,735995.514583333,735995.530520833,0.382500001229346
59783280,2,735997.638854167,735998.375972222,17.6908333310857
84835192,1,736048.624618056,736048.626967593,0.0563888903707266
48245576,2,735994.595115741,736004.511747685,237.999166664667
43803510,1,736048.619166667,736048.622326389,0.0758333327248693
96783978,2,735998.344803241,735998.355810185,0.264166667126119
90754638,1,736078.540613426,736078.542650463,0.0488888891413808
16870246,2,735998.470810185,736080.8175,1976.32055555563
40025115,2,735995.991956018,735995.998391204,0.154444444924593
42379809,2,735997.874490741,735997.87900463,0.108333335258067
61780253,1,736048.454398148,736048.46275463,0.200555557385087
81188111,2,736010.871076389,736146.510231482,3255.33972222358
63271948,1,736048.594340278,736048.599513889,0.124166666530073
84240327,2,735994.567118056,735994.574548611,0.178333332762122
75802190,2,736009.431724537,736133.562789352,2979.14555555396
22148144,2,736000.623935185,736000.636597222,0.303888889029622
75974112,1,736048.776215278,736048.77806713,0.044444446451962
43878748,1,736056.660439815,736056.6671875,0.161944446153939
99898669,2,736000.976516204,736002.062106482,26.0541666671634
64093003,1,736048.78900463,736048.793287037,0.102777779102325
45244375,1,736048.779884259,736048.783263889,0.0811111126095057
34262441,2,736030.933599537,736030.939861111,0.150277778506279
60638652,2,736002.901168981,736002.923425926,0.534166666679084
52252915,2,736009.657395833,736009.664155093,0.162222222425044
88325559,2,736007.737858796,736007.743842593,0.143611111678183
93861947,1,736056.645219907,736056.657337963,0.290833334438503
79300630,2,736008.58162037,736100.053796296,2195.33222222049
65669222,2,736008.481597222,736008.48787037,0.150555554777384
50074653,1,736048.762418982,736048.768275463,0.140555555932224
96129125,1,736048.754791667,736048.759849537,0.121388889849186
69686269,2,736025.439039352,736025.515868056,1.84388888720423
51480006,2,736025.779537037,736025.789606481,0.241666666232049
77400450,2,736025.508391204,736025.512337963,0.0947222225368023
34840824,2,736022.679363426,736022.684259259,0.117499999701977
61277462,2,736048.739884259,736048.744305556,0.10611111111939
16030864,1,736048.770914352,736048.774490741,0.085833334363997
80692557,2,736063.515300926,736081.390173611,428.996944444254
42252204,2,736031.036145833,736031.040381944,0.101666665636003
79510513,2,736024.0815625,736024.087453704,0.141388890333474
44169606,1,736048.745243056,736048.752638889,0.17750000115484
36996736,1,736048.7346875,736048.738981482,0.10305555537343
44255633,2,736032.782372685,736032.793981481,0.278611111454666
29277603,1,736071.734641204,736071.737118056,0.0594444461166859
63322807,1,736048.72931713,736048.733425926,0.0986111126840115
35964366,1,736048.724363426,736048.727939815,0.0858333315700293
97353068,1,736048.717696759,736048.722858796,0.123888887465
65971613,2,736042.736296296,736042.754918981,0.44694444257766
67780617,1,736081.473263889,736081.479074074,0.139444445259869
90340922,1,736056.699803241,736056.705613426,0.139444445259869
47405812,2,736042.948599537,736045.49599537,61.1374999992549
21493813,1,736056.717314815,736056.719409722,0.050277778878808
25993392,2,736048.706597222,736048.7159375,0.224166666157544
39048243,1,736056.706643519,736056.715844907,0.22083333414048
99569871,2,736042.729502315,736042.749293981,0.474999999627471
11772427,2,736046.959768519,736061.534594907,349.795833332464
63008192,2,736059.427523148,736063.007662037,85.9233333338052
96990501,2,736047.797060185,736050.463726852,63.9999999990687
51570411,2,736048.43537037,736048.453206019,0.428055555559695
29061212,2,736050.391527778,736050.398356481,0.163888888433576
71179205,2,736048.756412037,736048.763206018,0.163055554032326
80433299,2,736050.040856482,736050.447650463,9.76305555459112
42281271,1,736056.752824074,736056.757719907,0.117499999701977
62675382,2,736048.456446759,736048.459837963,0.0813888888806105
15392694,1,736076.740300926,736076.767951389,0.663611110299826
41863876,2,736049.890891204,736049.944641204,1.2900000018999
80014822,2,736047.692986111,736047.700092593,0.170555555261672
70840470,1,736076.719444444,736076.738912037,0.46722222212702
32332436,2,736047.652199074,736047.656261574,0.0975000020116568
61743700,2,736047.670902778,736047.6890625,0.435833333060145
32308292,1,736056.721145833,736056.75099537,0.716388886794448
60944735,2,736047.726863426,736047.732210648,0.128333332948387
30242809,2,736049.749826389,736049.934652778,4.43583333212882
89306456,1,736070.723113426,736070.733657407,0.253055557608604
71525487,1,736090.53556713,736090.546226852,0.255833334289491
11006409,2,736050.478043981,736050.486712963,0.208055555820465
98088766,2,736064.609224537,736078.543564815,334.424166667275
75774827,2,736053.004108796,736053.016238426,0.291111113503575
10822794,1,736070.735787037,736070.739710648,0.0941666672006249
78658758,2,736050.669594907,736050.681087963,0.275833331979811
50895211,2,736060.651921296,736060.656064815,0.0994444442912936
13862807,2,736049.701099537,736049.704201389,0.074444442987442
83550791,1,736070.764872685,736070.774363426,0.22777777723968
24445376,1,736083.77693287,736083.783506944,0.157777776941657
15172510,2,736050.884756944,736050.888449074,0.0886111110448837
18343372,1,736224.534930556,736224.549780093,0.356388886459172
21070328,2,736050.552118056,736050.571956019,0.476111113093793
55349938,2,736050.990439815,736050.998645833,0.196944443508983
25593841,2,736053.008912037,736053.01474537,0.140000000596046
45580481,2,736049.766006944,736049.773773148,0.186388889327645
54263537,2,736050.00087963,736050.008090278,0.173055555671453
80052567,2,736055.745509259,736055.754328704,0.211666666902602
85581222,2,736051.322673611,736051.329664352,0.167777778580785
81491276,1,736077.469930556,736077.473171296,0.0777777777984738
78394560,1,736070.741469907,736070.743587963,0.0508333314210176
61487886,1,736070.749606482,736070.752789352,0.0763888880610466
29712625,1,736224.59599537,736224.600219907,0.10138888657093
56633857,1,736081.481342593,736081.485694444,0.10444444231689
65894683,2,736070.394606482,736070.398564815,0.0949999988079071
92900359,2,736051.786412037,736051.794884259,0.203333334065974
92644180,2,736057.542141204,736057.571527778,0.705277780070901
53976593,2,736063.38755787,736063.401365741,0.331388887949288
47327306,2,736051.627106481,736051.634791667,0.184444444254041
23007476,2,736049.69369213,736049.711527778,0.428055558353662
50513512,2,736050.546574074,736130.018553241,1907.32749999873
71412551,2,736049.910231482,736049.91625,0.144444443285465
36215849,1,736131.493935185,736131.624618056,3.13638888951391
44867745,2,736050.792615741,736050.799699074,0.169999999925494
28096802,2,736070.780740741,736070.792719907,0.287499999627471
53475379,1,736071.522986111,736071.525960648,0.0713888900354505
38409554,1,736077.474861111,736077.479050926,0.100555554963648
85601735,1,736070.782523148,736070.786944444,0.10611111111939
94649167,2,736079.87724537,736079.900069444,0.547777776606381
25281029,1,736075.512847222,736075.515972222,0.0749999983236194
14703807,2,736055.965868056,736081.7853125,619.666666665114
59741633,2,736056.01568287,736056.874548611,20.6127777770162
66044096,1,736070.759560185,736070.763865741,0.103333334438503
42793015,1,736070.78806713,736070.804756944,0.400555553846061
17429347,2,736056.772199074,736056.781134259,0.214444446377456
12464494,2,736055.488287037,736055.51255787,0.582500000484288
50738539,1,736083.435740741,736083.439259259,0.0844444446265697
52644438,2,736055.965428241,736131.891493056,1822.22555555496
27041623,1,736070.775,736070.781840278,0.164166667498648
12751877,1,736083.440451389,736083.444351852,0.0936111090704799
48264817,1,736070.753935185,736081.500231482,257.911111112684
98546700,2,736060.416898148,736078.758634259,440.201666666195
59460120,2,736055.567071759,736055.569270833,0.0527777764946222
62754155,2,736056.321990741,736059.917893518,86.3016666658223
68140325,2,736057.440613426,736057.443530093,0.0700000002980232
55327162,1,736071.492916667,736071.500081019,0.171944444999099
50883182,1,736070.744444444,736070.748194444,0.090000000782311
73855016,2,736056.906655093,736056.929664352,0.552222222089767
46978852,1,736071.518553241,736071.521886574,0.080000001937151
35715759,1,736081.488668981,736081.493680556,0.120277779176831
42706748,1,736071.416273148,736071.426574074,0.247222222387791
13884579,1,736089.536828704,736089.555821759,0.455833333544433
53811246,1,736084.592453704,736084.668310185,1.82055555470288
61536246,2,736055.897488426,736057.469247685,37.7222222210839
77319220,2,736056.551493056,736056.56162037,0.243055555969477
73959330,2,736070.982280093,736070.991805556,0.22861111164093
39045439,2,736056.375914352,736056.388703704,0.306944441981614
54470030,1,736090.529398148,736090.533564815,0.099999999627471
87001881,1,736075.499201389,736075.508865741,0.231944443657994
36326162,1,736075.517650463,736075.525462963,0.1875
54378468,2,736055.57099537,736055.575243056,0.101944444701076
47344771,2,736056.971840278,736056.980011574,0.196111111901701
49051874,2,736074.486458333,736074.499953704,0.32388888951391
69129801,1,736081.511979167,736081.522094907,0.242777776904404
94169942,2,736064.572395833,736064.592083333,0.472499999217689
11417589,2,736065.462418981,736065.49400463,0.758055556565523
11319336,1,736082.720173611,736083.434826389,17.1516666663811
88413265,2,736077.273958333,736077.284733796,0.258611110970378
89788386,1,736083.445972222,736083.454143518,0.196111109107733
61983185,2,736079.903287037,736079.922372685,0.458055554889143
97343767,2,736074.697939815,736078.481273148,90.7999999998137
12628960,1,736078.626203704,736078.632407407,0.148888888768852
90311026,1,736083.454953704,736083.46724537,0.295000000856817
89202614,1,736083.764652778,736083.775868056,0.269166665151715
26075094,1,736078.634259259,736078.641134259,0.165000001899898
90714870,2,736144.910162037,736144.926238426,0.38583333324641
12394988,1,736224.575960648,736224.582511574,0.15722222160548
71872234,1,736218.518888889,736218.527824074,0.214444443583488
97782776,1,736224.582986111,736224.595451389,0.299166667275131
16387639,2,736093.341574074,736175.665127315,1975.7652777778
15601792,2,736092.594131944,736092.598946759,0.115555554628372
73335815,1,736224.569340278,736224.573356482,0.0963888885453343
44169120,1,736224.552569444,736224.567881944,0.367500001564622
58408751,2,736092.680243056,736092.685416667,0.124166666530073
92606367,1,736131.696782407,736131.704178241,0.17750000115484
49924420,2,736143.802905093,736143.808032407,0.123055555857718
39360542,1,736138.428634259,736138.43787037,0.221666665747762
40362114,2,736113.631631944,736134.864814815,509.596388887614
93954677,1,736224.483703704,736224.497256944,0.325277776457369
58509536,2,736103.786261574,736103.791226852,0.119166665710509
59400976,2,736106.421342593,736106.434386574,0.3130555562675
82315826,2,736106.402384259,736107.418368056,24.3836111119017
40254546,1,736138.457488426,736138.472106481,0.350833333097398
23718206,2,736104.42025463,736104.425752315,0.131944446824491
87898918,1,736224.522569445,736224.528888889,0.151666665449739
99454600,2,736103.904143519,736132.96619213,697.489166666754
17004422,1,736138.439976852,736138.455601852,0.375
24024711,1,736224.456458333,736224.48087963,0.586111111566424
71985549,1,736131.705127315,736131.735613426,0.731666668318212
88683659,2,736112.633298611,736112.651226852,0.430277776904404
19470267,1,736131.677893518,736131.695497685,0.422500002197921
26015614,1,736217.445543982,736217.498252315,1.26500000059605
18520203,1,736131.736712963,736131.745451389,0.209722221828997
38905939,1,736138.497893519,736138.745173611,5.93472222145647
61418435,1,736224.529363426,736224.533923611,0.109444445930421
56303770,1,736218.529363426,736218.539409722,0.241111110895872
58577813,1,736224.503888889,736224.521261574,0.41694444604218
41829570,2,736103.771493056,736107.018217593,77.9213888905942
78096234,2,736144.926585648,736144.937893518,0.271388889290392
57300101,1,736138.473310185,736138.495289352,0.527500002644956
43844651,1,736218.540532407,736218.571076389,0.733055558055639
83914388,2,736103.727488426,736103.763668982,0.868333334103227
17890548,1,736224.498043982,736224.502696759,0.111666667275131
29664099,2,736104.687222222,736106.719571759,48.7763888882473
14558526,2,736106.672615741,736106.677986111,0.128888891078532
19369265,2,736145.508159722,736145.518761574,0.254444444552064
88542764,2,736106.812824074,736106.821099537,0.198611112311482
